20240908	16:58:24	c423a618-a7f2-47dd-a11e-007903e739ee	GET undefined	{req.url}
20240908	16:58:24	ecccbcb8-8bad-4db5-abad-13fb2bdfc660	GET undefined	{req.url}
20240908	17:25:32	518a9757-b805-4ab3-8c93-d714ec0b9ddb	GET undefined	{req.url}
20240908	17:26:02	d270a062-3c88-4291-81d7-dac38985eb9f	GET undefined	{req.url}
20240908	17:26:02	fea3c0fc-d91c-4efe-805e-7c8863214f55	GET undefined	{req.url}
20240908	17:26:09	e867e3d6-7171-4354-842e-b434e281073d	GET undefined	{req.url}
20240908	17:35:51	3c4615bc-1227-4b46-94f6-5358404d1c06	GET undefined	/
20240908	17:35:51	6420590b-b73c-4ab3-b75e-521eec8313d1	GET undefined	/css/style.css
20240908	17:37:44	3d54eab7-cd20-474e-8709-b3c911b631f2	GET	 undefined	/
20240908	17:37:44	9fc7cb2d-503e-4c96-87a1-a264ca3ed659	GET	 undefined	/css/style.css
20240908	21:18:41	717bf92b-16d3-42aa-85da-781eab92a10b	GET	 undefined	/css/style.css
20240908	21:21:22	572aa886-171b-43f5-b32e-adb69aa3a6b6	OPTIONS	 https://www.google.co.uk	/
20240908	21:21:22	aedf92a2-2189-4d9c-88fe-a6a1d0e86b88	GET	 https://www.google.co.uk	/
20240908	21:22:24	ec8aecd4-e3c1-472c-9c54-92ec00fd19eb	OPTIONS	 https://www.google.com	/
20240908	21:22:24	faf1ea9b-fda0-4c36-96c9-870775093a73	GET	 https://www.google.com	/
20240908	21:24:29	c0f915f0-035e-4b7a-9014-36d1a2411067	OPTIONS	 https://www.google.com	/
20240908	21:24:29	34e5b576-9534-4f4b-a873-8d2a01baa7d6	GET	 https://www.google.com	/
20240908	22:26:28	246d0867-0d7c-45bd-825e-f813195f3732	OPTIONS	 https://www.google.com	/
20240908	22:26:28	c61345be-da7c-420f-9172-ef262eca169b	GET	 https://www.google.com	/
20240908	22:27:22	e09a96c3-35fa-488b-aad8-4f8cc2124797	OPTIONS	 https://www.google.com	/
20240908	22:27:22	251c90fb-f925-4949-9332-cd8aecf3936f	GET	 https://www.google.com	/
20240908	23:07:58	9478a515-dfac-4b07-a2ac-679def1dead3	GET	 undefined	/
20240908	23:07:58	4e63642d-e099-4134-af87-534aa4d0d24f	GET	 undefined	/css/style.css
20240908	23:07:58	d0eaccfd-898c-4dfa-a35c-11c5786538b7	GET	 undefined	/
20240908	23:07:58	46321b1f-f0ea-4d00-ba93-2670ca564d0e	GET	 undefined	/css/style.css
20240908	23:08:11	5cccf9d5-a54d-4b9b-ae80-2fd68763a079	GET	 undefined	/
20240908	23:08:12	e39366ee-8e10-4895-bf33-0f4f6ce70e78	GET	 undefined	/css/style.css
20240908	23:14:10	043d787a-e81a-4cf1-aa16-9e8e3282e4d9	GET	 undefined	/
20240908	23:17:37	0f2c1e4d-3514-4fe1-ba89-94ab68c90afe	GET	 undefined	/
20240908	23:18:32	f3a5520d-9227-4369-95d3-dcf33fb34c60	GET	 undefined	/
20240908	23:18:46	74d2483a-2913-4921-a067-ee3e0326c2f6	GET	 undefined	/
20240908	23:18:46	ba285fd6-e216-4383-bc15-64f220a2cc27	GET	 undefined	/css/style.css
20240909	12:00:08	9d73ce50-00e1-4938-8710-f88a580a2199	GET	 undefined	/
20240909	12:00:08	5db56ef7-244a-48a4-b7f3-556a8de8df25	GET	 undefined	/css/style.css
20240909	12:00:08	7a44db54-53f0-437b-a2ce-1c2decb1f353	GET	 undefined	/favicon.ico
20240909	12:00:27	2321cec0-d4af-4f9b-b46b-656351fa2482	GET	 undefined	/subdir
20240909	12:02:40	7e5357ff-d063-41c0-ba24-e19e46990961	GET	 undefined	/subdir
20240909	12:02:59	562b736e-8b7c-4953-ae1f-45d3d5a34b9f	GET	 undefined	/subdir/test.html
20240909	12:02:59	f85e2984-e7ce-44d4-8319-5524fb87dfe0	GET	 undefined	/subdir/css/style.css
20240909	12:03:54	79e6c2e9-5bc2-4ff5-8889-abdbb6aeaf73	GET	 undefined	/subdir/test
20240909	12:03:54	5e94e648-cfb5-45ab-ba3f-228a3fdcce00	GET	 undefined	/subdir/css/style.css
